algorithm_name,base_type,data_path,population_size,max_evaluations,crossover,mutation,fitness1,fitness2,computation_time
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.900000,0.200000,54990.000000,10.000000,3146
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.900000,0.200000,59790.000000,10.000000,3215
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.900000,0.200000,55837.000000,10.000000,3137
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.900000,0.200000,55195.000000,10.000000,3207
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.900000,0.200000,57884.000000,10.000000,3133
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.900000,0.200000,59326.000000,10.000000,3205
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.900000,0.200000,55868.000000,10.000000,3153
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.900000,0.200000,52521.000000,10.000000,3103
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.800000,0.100000,61405.000000,10.000000,10624
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.800000,0.100000,57517.000000,10.000000,3348
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.800000,0.100000,54791.000000,10.000000,2907
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.800000,0.100000,56392.000000,10.000000,2995
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.800000,0.100000,59605.000000,10.000000,2840
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.800000,0.100000,66968.000000,10.000000,2848
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.800000,0.100000,60589.000000,10.000000,2821
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.800000,0.100000,57662.000000,10.000000,2877
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.800000,0.100000,54955.000000,10.000000,2846
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.800000,0.100000,58446.000000,10.000000,2844
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.900000,0.100000,58586.000000,10.000000,11364
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.900000,0.100000,61612.000000,10.000000,4234
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.900000,0.100000,57581.000000,10.000000,2952
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.900000,0.100000,55306.000000,10.000000,2934
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.900000,0.100000,56799.000000,10.000000,2981
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.900000,0.100000,57852.000000,10.000000,2876
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.900000,0.100000,60633.000000,10.000000,2866
NSGAII,MEAN_BASE,/tspInstances/kroA100.tsp,100,100000,0.900000,0.100000,58887.000000,10.000000,2886
